age,sex,citizen,hispan,n
26,female,born abroad of american parents,puerto rican,2
26,female,born abroad of american parents,cuban,1
26,female,born abroad of american parents,other,24
26,female,naturalized citizen,not hispanic,446
26,female,naturalized citizen,mexican,95
26,female,naturalized citizen,puerto rican,4
26,female,naturalized citizen,cuban,18
26,female,naturalized citizen,other,116
27,male,born abroad of american parents,not hispanic,188
27,male,born abroad of american parents,mexican,32
27,male,born abroad of american parents,puerto rican,1
27,male,born abroad of american parents,cuban,1
27,male,born abroad of american parents,other,20
27,male,naturalized citizen,not hispanic,483
27,male,naturalized citizen,mexican,103
27,male,naturalized citizen,puerto rican,6
27,male,naturalized citizen,cuban,17
27,male,naturalized citizen,other,117
27,female,born abroad of american parents,not hispanic,152
27,female,born abroad of american parents,mexican,26
27,female,born abroad of american parents,puerto rican,7
27,female,born abroad of american parents,cuban,1
27,female,born abroad of american parents,other,28
27,female,naturalized citizen,not hispanic,469
27,female,naturalized citizen,mexican,113
27,female,naturalized citizen,puerto rican,4
27,female,naturalized citizen,cuban,18
27,female,naturalized citizen,other,102
28,male,born abroad of american parents,not hispanic,180
28,male,born abroad of american parents,mexican,28
28,male,born abroad of american parents,puerto rican,7
28,male,born abroad of american parents,cuban,1
28,male,born abroad of american parents,other,17
28,male,naturalized citizen,not hispanic,509
28,male,naturalized citizen,mexican,132
28,male,naturalized citizen,puerto rican,6
28,male,naturalized citizen,cuban,29
28,male,naturalized citizen,other,102
28,female,born abroad of american parents,not hispanic,181
28,female,born abroad of american parents,mexican,25
28,female,born abroad of american parents,puerto rican,6
28,female,born abroad of american parents,cuban,1
28,female,born abroad of american parents,other,23
28,female,naturalized citizen,not hispanic,535
28,female,naturalized citizen,mexican,124
28,female,naturalized citizen,puerto rican,4
28,female,naturalized citizen,cuban,15
28,female,naturalized citizen,other,115
29,male,born abroad of american parents,not hispanic,203
29,male,born abroad of american parents,mexican,28
29,male,born abroad of american parents,puerto rican,10
29,male,born abroad of american parents,cuban,1
29,male,born abroad of american parents,other,20
29,male,naturalized citizen,not hispanic,509
29,male,naturalized citizen,mexican,115
29,male,naturalized citizen,puerto rican,3
29,male,naturalized citizen,cuban,24
29,male,naturalized citizen,other,126
29,female,born abroad of american parents,not hispanic,169
29,female,born abroad of american parents,mexican,24
29,female,born abroad of american parents,puerto rican,13
29,female,born abroad of american parents,cuban,2
29,female,born abroad of american parents,other,16
29,female,naturalized citizen,not hispanic,572
29,female,naturalized citizen,mexican,121
29,female,naturalized citizen,puerto rican,3
29,female,naturalized citizen,cuban,34
29,female,naturalized citizen,other,139
30,male,born abroad of american parents,not hispanic,206
30,male,born abroad of american parents,mexican,20
30,male,born abroad of american parents,puerto rican,9
30,male,born abroad of american parents,cuban,1
30,male,born abroad of american parents,other,20
30,male,naturalized citizen,not hispanic,577
30,male,naturalized citizen,mexican,136
30,male,naturalized citizen,cuban,28
30,male,naturalized citizen,other,123
30,female,born abroad of american parents,not hispanic,171
30,female,born abroad of american parents,mexican,25
30,female,born abroad of american parents,puerto rican,5
30,female,born abroad of american parents,cuban,1
30,female,born abroad of american parents,other,18
30,female,naturalized citizen,not hispanic,681
30,female,naturalized citizen,mexican,155
30,female,naturalized citizen,cuban,37
30,female,naturalized citizen,other,152
31,male,born abroad of american parents,not hispanic,176
31,male,born abroad of american parents,mexican,34
31,male,born abroad of american parents,puerto rican,7
31,male,born abroad of american parents,cuban,4
31,male,born abroad of american parents,other,23
31,male,naturalized citizen,not hispanic,646
31,male,naturalized citizen,mexican,177
31,male,naturalized citizen,puerto rican,6
31,male,naturalized citizen,cuban,30
31,male,naturalized citizen,other,151
31,female,born abroad of american parents,not hispanic,195
31,female,born abroad of american parents,mexican,28
31,female,born abroad of american parents,puerto rican,4
31,female,born abroad of american parents,cuban,1
31,female,born abroad of american parents,other,27
31,female,naturalized citizen,not hispanic,722
31,female,naturalized citizen,mexican,205
31,female,naturalized citizen,puerto rican,2
31,female,naturalized citizen,cuban,24
31,female,naturalized citizen,other,181
32,male,born abroad of american parents,not hispanic,203
32,male,born abroad of american parents,mexican,40
32,male,born abroad of american parents,puerto rican,2
32,male,born abroad of american parents,cuban,3
32,male,born abroad of american parents,other,19
32,male,naturalized citizen,not hispanic,602
32,male,naturalized citizen,mexican,163
32,male,naturalized citizen,puerto rican,3
32,male,naturalized citizen,cuban,24
32,male,naturalized citizen,other,141
32,female,born abroad of american parents,not hispanic,199
32,female,born abroad of american parents,mexican,25
32,female,born abroad of american parents,puerto rican,6
32,female,born abroad of american parents,cuban,4
32,female,born abroad of american parents,other,20
32,female,naturalized citizen,not hispanic,723
32,female,naturalized citizen,mexican,183
32,female,naturalized citizen,puerto rican,4
32,female,naturalized citizen,cuban,25
32,female,naturalized citizen,other,160
33,male,born abroad of american parents,not hispanic,195
33,male,born abroad of american parents,mexican,23
33,male,born abroad of american parents,puerto rican,7
33,male,born abroad of american parents,cuban,2
33,male,born abroad of american parents,other,8
33,male,naturalized citizen,not hispanic,717
33,male,naturalized citizen,mexican,178
33,male,naturalized citizen,puerto rican,1
33,male,naturalized citizen,cuban,18
33,male,naturalized citizen,other,166
33,female,born abroad of american parents,not hispanic,172
33,female,born abroad of american parents,mexican,15
33,female,born abroad of american parents,puerto rican,1
33,female,born abroad of american parents,cuban,2
33,female,born abroad of american parents,other,22
33,female,naturalized citizen,not hispanic,768
33,female,naturalized citizen,mexican,204
